ID,Size,data projector,overhead projector,screens,sound,speakers,hdmi cable,vga cable,document camera
C6,132,1,1,1,0,0,0,0,0
P114,164,1,1,1,0,0,0,0,0
B121,84,1,1,1,0,0,1,1,0
OLS1,300,1,1,1,1,1,1,1,0
CM2,128,1,1,0,0,0,1,1,0
CLM102,148,1,1,1,0,1,0,0,0
LB146,108,1,1,1,0,0,0,0,0
OSG1,130,1,1,1,0,0,0,0,0
RS241,210,0,1,1,1,1,1,1,0
SM6,356,1,1,0,1,0,0,0,1
GH403,100,1,1,1,0,0,1,1,0
U1,289,1,1,1,0,0,0,0,0
FNB101,443,1,0,0,0,1,0,0,1
MPT,370,1,0,1,1,0,0,0,0
NCB4,250,1,0,0,0,0,0,0,1
A1,274,1,1,1,0,0,0,0,0
GLT,254,1,1,1,0,1,0,0,0
H7,93,1,1,1,0,0,0,0,0
WSS2,420,0,0,0,0,1,0,0,1
