Name,Description,Size,Host Key
CB142,Robert Sobukwe Building 1st floor,210,9430-1
MPT,DJ Du Plessie Building,350,9430-5
P115,Physics Building,200,9430-4
FNB150,First National Bank Building,25,9437-1
CB127,Robert Sobukwe Building 1st floor,25,9437-2
FNB33,First National Bank Building,200,8536-1
FNB33,First National Bank Building,200,8536-2
FNB102,First National Bank Building,300,1162-3
FNB33,First National Bank Building,200,1162-2
FNB33,First National Bank Building,200,1162-1
FNB33,First National Bank Building,200,1161-2
FNB33,First National Bank Building,200,1161-1
CB246,Robert Sobukwe Building 2nd floor,30,8537-1
FNB102,First National Bank Building,350,1160-1
FNB102,First National Bank Building,350,1159-1
MPT,DJ Du Plessie Building,370,1163-3
MPT,DJ Du Plessie Building,370,1163-1
MPT,DJ Du Plessie Building,370,1163-2
NCB4,New Commerce Building,250,9181-1
NCB4,New Commerce Building,250,9181-2
NCB4,New Commerce Building,250,9181-3
NCB4,New Commerce Building,250,9183-2
NCB4,New Commerce Building,250,9183-3
NCB4,New Commerce Building,250,9183-1
NCB4,New Commerce Building,250,9185-1
NCB4,New Commerce Building,250,9185-2
NCB4,New Commerce Building,250,9185-3
FNB121,First National Bank Building,25,9186-1
NCB3,New Commerce Building,250,7728-4
FNB103,First National Bank Building,30,#SPLUSA925E1
FNBGA,First National Bank Building,140,1164-2
WSS105,Wits Science Stadium,30,1164-1
MPT,DJ Du Plessie Building,370,1165-2
MPT,DJ Du Plessie Building,370,1165-3
MPT,DJ Du Plessie Building,370,1165-1
FNB101,First National Bank Building,430,1168-1
FNB101,First National Bank Building,430,1168-2
FNB101,First National Bank Building,430,1168-3
FNB159,First National Bank Building,30,1167-1
FNB101,First National Bank Building,430,1169-6
FNB101,First National Bank Building,430,1169-2
FNB101,First National Bank Building,430,1169-1
FNBGA,First National Bank Building,100,#SPLUSA92306
FNB101,First National Bank Building,420,1173-2
FNB101,First National Bank Building,420,1173-3
FNB101,First National Bank Building,420,1173-1
FNB101,First National Bank Building,430,7730-2
FNB101,First National Bank Building,430,7730-1
FNB101,First National Bank Building,430,9363-1
FNB101,First National Bank Building,430,9363-3
FNB101,First National Bank Building,430,9363-2
FNB119,First National Bank Building,25,7731-6
FNB119,First National Bank Building,25,9367-14
FNB150,First National Bank Building,25,9367-13
FNB150,First National Bank Building,25,9367-12
MPB1,DJ Du Plessie Building,30,9358-1
MPB1,DJ Du Plessie Building,30,9358-2
MPT,DJ Du Plessie Building,350,9359-15
FNB151,First National Bank Building,35,9359-13
OGS3,Old Grand Stand Building,30,9359-14
NCB2,New Commerce Building,250,1177-3
NCB2,New Commerce Building,250,1177-1
NCB2,New Commerce Building,250,1177-2
NCB150,New Commerce Building,30,1178-13
NCB150,New Commerce Building,35,9964-1
FNB101,First National Bank Building,430,1179-1
FNB101,First National Bank Building,430,1179-4
FNB101,First National Bank Building,430,1179-2
FNB101,First National Bank Building,430,1179-3
LB55,Law Building,40,1180-1
LB55,Law Building,40,1180-4
LB55,Law Building,40,1180-2
LB55,Law Building,40,1180-3
MPT,DJ Du Plessie Building,370,1185-4
MPT,DJ Du Plessie Building,370,#SPLUSF11145
MPT,DJ Du Plessie Building,370,1185-3
